user_id,timestamp,is_anomaly,entity_text,entity_label
user_6,2026-07-30 12:19:02.893832,1,London,GPE
user_9,2026-07-30 11:20:02.893833,1,IP 192.168.1.120,ORG
user_4,2026-07-30 10:53:02.893834,-1,IP,ORG
user_4,2026-07-30 10:53:02.893834,-1,192.168.1.88,CARDINAL
user_8,2026-07-30 12:19:02.893834,1,Email,PERSON
user_8,2026-07-30 12:19:02.893834,1,Jane Doe,PERSON
user_8,2026-07-30 12:19:02.893834,1,John Doe,PERSON
user_8,2026-07-30 12:19:02.893834,1,Project X,ORG
user_8,2026-07-30 12:19:02.893834,1,London,GPE
user_5,2026-07-30 12:06:02.893835,1,IP 192.168.1.120,ORG
user_7,2026-07-30 11:44:02.893836,1,Email,PERSON
user_7,2026-07-30 11:44:02.893836,1,Jane Doe,PERSON
user_7,2026-07-30 11:44:02.893836,1,John Doe,PERSON
user_7,2026-07-30 11:44:02.893836,1,Project X,ORG
user_7,2026-07-30 11:44:02.893836,1,London,GPE
user_1,2026-07-30 11:47:02.893838,1,Email,PERSON
user_1,2026-07-30 11:47:02.893838,1,Jane Doe,PERSON
user_1,2026-07-30 11:47:02.893838,1,John Doe,PERSON
user_1,2026-07-30 11:47:02.893838,1,Project X,ORG
user_1,2026-07-30 11:47:02.893838,1,London,GPE
user_4,2026-07-30 10:55:02.893839,-1,8080,CARDINAL
user_9,2026-07-30 11:43:02.893839,1,IP,ORG
user_9,2026-07-30 11:43:02.893839,1,192.168.1.110,CARDINAL
user_6,2026-07-30 11:47:02.893841,1,Email,PERSON
user_6,2026-07-30 11:47:02.893841,1,Jane Doe,PERSON
user_6,2026-07-30 11:47:02.893841,1,John Doe,PERSON
user_6,2026-07-30 11:47:02.893841,1,Project X,ORG
user_6,2026-07-30 11:47:02.893841,1,London,GPE
user_7,2026-07-30 12:07:02.893842,1,IP 192.168.1.241,ORG
UNKNOWN,2026-07-30 12:02:02.893843,1,8080,CARDINAL
user_5,2026-07-30 11:17:02.893844,1,IP 192.168.1.199,ORG
user_9,2026-07-30 12:06:02.893845,1,IP,ORG
user_6,2026-07-30 11:15:02.893846,1,IP 192.168.1.108,ORG
user_5,2026-07-30 12:14:02.893847,1,8080,CARDINAL
user_5,2026-07-30 11:18:02.893850,1,Email,PERSON
user_5,2026-07-30 11:18:02.893850,1,Jane Doe,PERSON
user_5,2026-07-30 11:18:02.893850,1,John Doe,PERSON
user_5,2026-07-30 11:18:02.893850,1,Project X,ORG
user_5,2026-07-30 11:18:02.893850,1,London,GPE
user_7,2026-07-30 12:07:02.893850,1,Email,PERSON
user_7,2026-07-30 12:07:02.893850,1,Jane Doe,PERSON
user_7,2026-07-30 12:07:02.893850,1,John Doe,PERSON
user_7,2026-07-30 12:07:02.893850,1,Project X,ORG
user_7,2026-07-30 12:07:02.893850,1,London,GPE
user_1,2026-07-30 11:02:02.893851,1,192.168.1.80,CARDINAL
UNKNOWN,2026-07-30 11:14:02.893852,1,Email,PERSON
UNKNOWN,2026-07-30 11:14:02.893852,1,Jane Doe,PERSON
UNKNOWN,2026-07-30 11:14:02.893852,1,John Doe,PERSON
UNKNOWN,2026-07-30 11:14:02.893852,1,Project X,ORG
UNKNOWN,2026-07-30 11:14:02.893852,1,London,GPE
user_7,2026-07-30 12:00:02.893854,1,8080,CARDINAL
user_8,2026-07-30 11:31:02.893854,1,8080,CARDINAL
user_7,2026-07-30 10:53:02.893855,-1,IP 192.168.1.163,ORG
user_1,2026-07-30 11:54:02.893856,1,Email,PERSON
user_1,2026-07-30 11:54:02.893856,1,Jane Doe,PERSON
user_1,2026-07-30 11:54:02.893856,1,John Doe,PERSON
user_1,2026-07-30 11:54:02.893856,1,Project X,ORG
user_1,2026-07-30 11:54:02.893856,1,London,GPE
user_10,2026-07-30 12:01:02.893857,1,Email,PERSON
user_10,2026-07-30 12:01:02.893857,1,Jane Doe,PERSON
user_10,2026-07-30 12:01:02.893857,1,John Doe,PERSON
user_10,2026-07-30 12:01:02.893857,1,Project X,ORG
user_10,2026-07-30 12:01:02.893857,1,London,GPE
user_2,2026-07-30 11:32:02.893861,1,Email,PERSON
user_2,2026-07-30 11:32:02.893861,1,Jane Doe,PERSON
user_2,2026-07-30 11:32:02.893861,1,John Doe,PERSON
user_2,2026-07-30 11:32:02.893861,1,Project X,ORG
user_2,2026-07-30 11:32:02.893861,1,London,GPE
UNKNOWN,2026-07-30 11:17:02.893863,1,8080,CARDINAL
user_10,2026-07-30 11:17:02.893863,1,8080,CARDINAL
user_4,2026-07-30 11:38:02.893865,1,Email,PERSON
user_4,2026-07-30 11:38:02.893865,1,Jane Doe,PERSON
user_4,2026-07-30 11:38:02.893865,1,John Doe,PERSON
user_4,2026-07-30 11:38:02.893865,1,Project X,ORG
user_4,2026-07-30 11:38:02.893865,1,London,GPE
UNKNOWN,2026-07-30 11:42:02.893866,1,Email,PERSON
UNKNOWN,2026-07-30 11:42:02.893866,1,Jane Doe,PERSON
UNKNOWN,2026-07-30 11:42:02.893866,1,John Doe,PERSON
UNKNOWN,2026-07-30 11:42:02.893866,1,Project X,ORG
UNKNOWN,2026-07-30 11:42:02.893866,1,London,GPE
user_3,2026-07-30 11:44:02.893868,1,IP,ORG
UNKNOWN,2026-07-30 11:19:02.893869,1,Email,PERSON
UNKNOWN,2026-07-30 11:19:02.893869,1,Jane Doe,PERSON
UNKNOWN,2026-07-30 11:19:02.893869,1,John Doe,PERSON
UNKNOWN,2026-07-30 11:19:02.893869,1,Project X,ORG
UNKNOWN,2026-07-30 11:19:02.893869,1,London,GPE
user_9,2026-07-30 11:26:02.893870,1,8080,CARDINAL
user_1,2026-07-30 12:20:02.893870,1,8080,CARDINAL
user_2,2026-07-30 10:50:02.893872,-1,IP,ORG
user_2,2026-07-30 10:50:02.893872,-1,192.168.1.50,CARDINAL
user_4,2026-07-30 12:03:02.893873,1,8080,CARDINAL
user_3,2026-07-30 12:26:02.893874,1,Email,PERSON
user_3,2026-07-30 12:26:02.893874,1,Jane Doe,PERSON
user_3,2026-07-30 12:26:02.893874,1,John Doe,PERSON
user_3,2026-07-30 12:26:02.893874,1,Project X,ORG
user_3,2026-07-30 12:26:02.893874,1,London,GPE
user_2,2026-07-30 11:14:02.893875,1,Email,PERSON
user_2,2026-07-30 11:14:02.893875,1,Jane Doe,PERSON
user_2,2026-07-30 11:14:02.893875,1,John Doe,PERSON
user_2,2026-07-30 11:14:02.893875,1,Project X,ORG
user_2,2026-07-30 11:14:02.893875,1,London,GPE
user_8,2026-07-30 11:01:02.893876,1,Email,PERSON
user_8,2026-07-30 11:01:02.893876,1,Jane Doe,PERSON
user_8,2026-07-30 11:01:02.893876,1,John Doe,PERSON
user_8,2026-07-30 11:01:02.893876,1,Project X,ORG
user_8,2026-07-30 11:01:02.893876,1,London,GPE
user_2,2026-07-30 11:21:02.893878,1,Email,PERSON
user_2,2026-07-30 11:21:02.893878,1,Jane Doe,PERSON
user_2,2026-07-30 11:21:02.893878,1,John Doe,PERSON
user_2,2026-07-30 11:21:02.893878,1,Project X,ORG
user_2,2026-07-30 11:21:02.893878,1,London,GPE
UNKNOWN,2026-07-30 11:39:02.893879,1,Email,PERSON
UNKNOWN,2026-07-30 11:39:02.893879,1,Jane Doe,PERSON
UNKNOWN,2026-07-30 11:39:02.893879,1,John Doe,PERSON
UNKNOWN,2026-07-30 11:39:02.893879,1,Project X,ORG
UNKNOWN,2026-07-30 11:39:02.893879,1,London,GPE
user_1,2026-07-30 11:26:02.893880,1,Email,PERSON
user_1,2026-07-30 11:26:02.893880,1,Jane Doe,PERSON
user_1,2026-07-30 11:26:02.893880,1,John Doe,PERSON
user_1,2026-07-30 11:26:02.893880,1,Project X,ORG
user_1,2026-07-30 11:26:02.893880,1,London,GPE
user_8,2026-07-30 11:40:02.893881,1,8080,CARDINAL
